"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.0784313725487","18.6486486486489","12.1298405466969","3.96140172676478","7.96287249633627","5.88235294117645","7.30769230769222","8.20390282755872","2.54714390872277","1.18578817164962","7.04687397800615","1.99198585247491","1.23804210577079","7.6165881939646","4.19596280335676","-0.957771005659552","1.12087912087912","7.28102586394262","-0.384927066450572","1.13890583689242","3.09672230042229","1.83343085625123","-11.6835855200153","-2.73259596616786","3.36677814938685","-1.03537532355479","6.42981691368789","-0.0204792135982075","3.54362965997541","2.11671612265083","5.48237117396357","1.26721763085401","-2.08560029017048","-22.3189479533247","",
"Africa Eastern and Southern","AFE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","0.239593842337186","7.98076755249808","5.16433430796219","4.57995225459698","5.32771650753345","3.91210789127985","5.25680968647335","4.02377608839745","5.27992666711296","4.70076671998395","5.37165287596233","2.15036462790439","4.43724239539713","5.88869008024369","1.73007929184075","2.84627234016448","1.23074449457307","1.03354647615599","2.79572518973703","5.41938159928385","4.33075294450072","0.508485287286305","0.152353075878537","3.0058322549674","-0.447689333548624","2.28622584619509","4.23245056125103","3.99777388896942","2.89763823426334","-0.0396773058137967","0.10530101898938","-1.97911795690679","-0.392300098204942","2.02585680520397","4.29076045868868","5.43666128168525","4.42400408696533","1.84816171842471","2.63648606463131","3.35077349562722","3.6587012149089","3.89337907673297","3.08037602693415","5.50835541325966","6.11680122972891","6.55488087371307","6.60428224821325","4.34345645134013","0.761219025383781","5.15212534897287","3.68087046123608","0.92306718208026","4.20020884185426","3.98438686117323","2.95284538392468","2.21701650452242","2.55713519352429","2.48524422522907","2.0259406786066","-2.88685564830078","4.30366702056686",
"Afghanistan","AFG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.83227781263571","1.41411798058979","11.2297148236429","5.35740325126351","13.8263195479763","3.92498382161573","21.3905283931066","14.3624414692681","0.426354784529209","12.752287088717","5.60074465808154","2.72454336394854","1.45131466009755","2.26031420130452","2.64700320195786","1.18922812838034","3.911603419423","-2.35110067344623","",
"Africa Western and Central","AFW","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","1.84875174561579","3.77021991638627","7.27243972734885","5.39634888837395","4.04979279672312","-1.78707868599909","-9.54646382330623","1.46577466237557","15.4918877690968","17.9089381536029","10.807493581677","3.14598318135275","4.21341419278667","10.249839425667","-2.16426475875431","8.57867420152134","4.72612778246369","-2.19417740768202","5.2308125752856","1.99542065752085","-6.93261041879805","-3.35028024647103","-6.53408251658082","0.559429028499608","5.55161035930563","1.41467036345321","1.44837461652376","4.84425263125353","2.27211559104697","6.56286956734426","1.12108049549097","2.69395856003622","-1.16046660327763","-0.299687611425128","1.92704508260533","4.62904482863698","4.23465660050155","3.50651774278805","1.42100264198868","3.73466553130466","5.2126838422331","9.89954820995145","5.51847423445841","8.01345264095671","5.84836407907099","5.37448152817423","5.53089854714044","6.27922319099525","6.27449779534486","6.95703017532358","4.84833258759669","5.14299687458436","6.10419230221729","5.92735511576407","2.74589449615112","0.127844424317061","2.31767900097606","2.95218973567523","3.20254418665031","-0.897014040764716","3.91479895698559",
"Angola","AGO","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-4.40000121865044","0","4.20000142853745","6.00000216509061","3.49999949008624","2.90000174246859","4.08274863510718","6.12889047765088","0.0416214618374653","-3.45009868500253","0.991359302044742","-5.83828073313141","-23.9834174420578","1.33936343647991","15.0000000288634","13.5443697551026","7.27427735460373","4.69114645093552","2.18148971840458","3.05462423430785","4.2059985561951","13.6656887608562","2.99000000000001","10.9500000059465","15.0299999905513","11.549999997879","14.0100000086059","11.1699999942146","0.860000002152788","4.85999999863851","3.47000000135648","8.54000000289987","4.9499999975523","4.81999999862724","0.939999999384781","-2.5799999964437","-0.149999999638098","-1.31631210213166","-0.69999999780272","-5.50000000331273","0.700000004941785",
"Albania","ALB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","5.74563529228122","2.94859680118948","1.10493826195044","-1.25159664405811","1.78064395924903","5.63724317852112","-0.787842654927246","-1.42003965566391","9.83654897187228","-9.57564016993415","-28.0021416559099","-7.18711091500037","9.5594116849315","8.30286659699671","13.322333321684","9.09999943646361","-10.9199840781391","8.82942375839806","12.8908036407763","6.94621659244254","8.29331263121023","4.53652416035675","5.52863746491788","5.51466791097914","5.52642424695465","5.90265903591924","5.98325951855567","7.50004143020151","3.35428934987461","3.70693815255319","2.54540614450104","1.4172427999078","1.00201754071108","1.77444885260394","2.21872637517804","3.31498068384137","3.80222740040676","4.01935968514439","2.08806337615015","-3.48163037314293","8.54408325116881",
"Andorra","AND","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","4.64946536113831","8.14974348780973","7.78846720332223","5.6187897289272","0.54220565931233","3.30378704601691","2.83857556823506","1.46300017891366","0.0415571952087532","2.20872761127492","-0.132474510851083","1.24646111073419","1.77011831683124","1.78468668995906","2.32143303367481","3.2533217762911","5.54712217080133","5.0943262031371","4.82703425038704","3.78138758571333","2.54600352375863","0.929214040125956","-1.03148438999895","2.3831822482118","2.75750161326249","4.64973866754707","9.06767205144135","3.19479339289236","4.0990789217793","3.52836236122388","8.11935772169949","4.54636221364653","8.69420371612468","8.13567633837351","5.39779598500422","4.80868869916921","1.55318814103222","-5.55918636850581","-5.30284654348291","-1.97495799965345","-0.00806975341139093","-4.97444371853503","-3.54759651549344","2.50446552114518","1.43414039522716","3.70967806978986","0.346071889630295","1.58876549046354","2.01554763848308","-11.1839399355384","8.94941798050814",
"Arab World","ARB","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","15.7453051118079","8.09157087750091","-0.58381477370591","10.9831444035968","9.04058662115119","3.39021628568918","-8.30307043512897","-6.21410841956552","1.30064011735584","-2.0172906028874","4.49329886858027","-0.0800504987791442","5.81632328120875","2.15603838116564","12.0640364057961","2.41209826061701","5.19089283867731","3.16444016221389","3.29355338519166","3.03601826743032","4.7165884972342","4.73545901690603","5.13484457989155","1.82689814473362","6.54022127507289","1.71224830732879","0.68153410066671","4.87069002288858","8.85442722282474","5.52044606276485","6.08068113896667","4.57270531909396","5.56125991641669","0.414944586585662","4.75317741773473","3.24358834510481","5.07469699108248","2.56421718846561","2.34867917957135","3.05263363443622","3.17514676753649","1.24260798102893","2.36388122760225","1.58631931630191","-5.05138259785269","3.53029405737348",
"United Arab Emirates","ARE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","16.5268565060148","21.4393301701989","-1.58960331991595","20.9235730770152","23.874774910498","4.65917667406515","-6.71931618570784","-4.7458206999658","4.0169512795941","-3.59447651736838","-14.9581365645327","3.38198170900878","-2.61890770383279","12.33789128226","18.3279855336405","0.860081945778219","3.3449448618412","1.26119095149724","6.89614855052668","6.68788646362944","5.79840406132159","8.1903986407705","0.291994348685435","2.90221364464598","10.8527042125986","1.3990850303263","2.43345681036156","8.80054081486432","9.56643663716162","4.85514119630905","9.83731977348489","3.1843901736724","3.19183627610384","-5.2429219066759","1.60285004825521","6.92850859932253","4.48379198460323","5.05307785501631","4.41008525984844","5.06033486435939","2.98421609131721","2.37355105709227","1.18985564163665","3.41153868634566","-6.13450080253007","",
"Argentina","ARG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.42784287621933","-0.852021521903339","-5.30819682539126","10.1302976615431","10.5694333376394","-0.659726170629824","3.19199662339177","4.82250077932424","9.67952601078326","3.04564331917115","5.65813108184925","1.62841651825939","2.81175403849035","5.5338043957736","-0.0284121037110907","-2.01825151683394","6.93414775653342","-4.50612480201359","10.2227634638681","1.51878394990179","-5.18978914135593","-0.735659159103619","4.34909327926756","1.57073870182023","-5.18902435343904","6.15337706275693","2.70486882770558","-1.08993334133791","-7.15694965597953","-2.46721377810472","9.13311056738961","7.93729155643076","8.20697907221228","5.83620070368526","-2.84520961057079","5.52668982715234","8.1110467707457","3.85017885156228","-3.38545704063269","-0.78899893905691","-4.40883968258557","-10.8944848285903","8.83704079576924","9.02957330068152","8.85165992013437","8.04715150043027","9.00765087504757","4.05723310346406","-5.91852507634947","10.1253981561002","6.00395169280579","-1.0264204544321","2.40532378079436","-2.51261532081394","2.73115982828944","-2.08032784377811","2.81850297775918","-2.61739646282038","-2.0259342366392","-9.89526896368687","10.2637609278887",
