"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bangladesh","BGD","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104999126668.474","112333159708.936","121146403556.121","129861168624.058","137793895025.735","147888078768.543","157407191153.966","167310862814.188","177953220911.374","188888806689.217","203393133330.434","218534997536.143","230448205145.17","246134138763.759","265983851337.671","292254344192.251","321372682222.956","353355326636.583","381790053069.973","403622398431.373","431232354475.677","468647816771.097","531392989427.111","575260311143.038","623422026299.146","665524876432.343","728388162627.082","781590411613.399","858837220215.19","943103027726.508","987379950248.558","1099767213458.98","",
"Bulgaria","BGR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65833144368.8477","62311600829.1958","59096815208.0905","59602115800.9129","61981585613.7049","65091902596.459","57276942585.7876","47798644412.8771","51009935495.3334","47685594922.3421","52475648463.5482","55744295511.5022","61023649905.0158","65447924437.5294","71007194094.7835","78821727222.4838","86700950621.7706","96737344776.7179","107494989963.26","105576715877.279","110611221157.484","115714705915.204","119289505268.189","120942441126.75","127263783970.346","132016869784.615","143085786192.226","151920376104.312","161688720891.903","175581411103.939","175404064963.907","193354340949.162","",
"Bahrain","BHR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13313767889.9519","15309705679.4482","16706160236.2094","19303201194.1008","19666117520.7429","20867579696.4914","22123020634.4793","23200581590.5379","24585528466.9632","26004071347.1369","28002664526.8386","29346798120.2163","30802185154.6651","33387815395.3606","36677438753.2954","40388126701.9833","44326828395.8536","49300579352.8429","53384007743.8557","55090758632.4026","58169329411.6696","60555691596.7436","65875368137.9427","67716644746.8625","68275971746.1039","62523275420.368","63831285346.3079","71282082008.2729","74525827683.0157","77502717906.4679","74565280474.1503","79392034653.1786","",
"Bahamas, The","BHS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5501991400.88489","5450193386.27283","5361145225.5925","5505115667.84428","5799726448.16326","6180621795.12848","6559607002.91599","7131521960.35959","6886999687.98322","7835934751.55605","8345958865.26692","8758020182.52818","9135084086.48799","9197578689.35066","9527849444.76323","10160265552.1052","10737378438.046","11187098375.4539","11136741042.6804","10740093108.9227","11036376383.4369","11334782601.5822","11713379202.2105","11696357438.9299","12359296821.0233","12668729965.4651","12806342894.3089","13709238137.5877","14293767377.604","14825323453.4803","11429658542.6854","13537883107.8404","",
"Bosnia and Herzegovina","BIH","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3548815792.48105","4376862882.45483","8421846650.11983","11513256422.2647","13459124890.5627","14959079596.1282","17250844236.8597","17998883307.2345","19535754437.5711","20549191755.7976","22394680483.7981","24398017490.0471","27912917878.4232","30845221804.3709","33896710104.2751","33732342322.9908","34639497691.4772","36525661608.9497","37145719042.2734","39027196298.3296","39811651044.0962","41189205458.8208","44265644835.8624","46096503210.8469","49588264034.693","53429753624.306","51914292884.6644","57218377285.3752","",
"Belarus","BLR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53250955635.6686","54391157109.1213","50290136477.0865","47569536599.1386","42900860180.7042","39245201757.5411","41082756176.5868","46555399157.8062","51034060777.1634","53512859527.815","57899283447.3177","62001283966.7335","66144476953.7165","72200530511.3246","82627376602.6377","93228959084.0122","105716172540.63","117910480784.173","132429460433.457","133544823623.481","145689092567.2","156715098657.899","171037674358.344","179366145726.605","179597949624.117","171204463522.202","168421837005.779","173630155305.786","183376785383.062","189270070621.42","190211112248.957","202671495340.37","",
"Belize","BLZ","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","827388115.019636","953332721.994098","1092431752.30531","1188074944.3676","1215839942.5669","1249280420.44542","1285224422.41065","1354237915.37448","1423260744.4084","1572521688.75019","1817300103.00533","1951935933.34257","2083716266.76923","2323121421.33267","2495949270.25183","2630810430.30217","2836340011.29423","3008384500.58274","3019481404.01358","3025088187.71652","3099905845.14688","3160971609.68865","3071778720.61696","3210501589.91176","3257944413.37144","3352988942.54283","3365183980.94179","3324933516.96187","3441931964.76698","3661227455.72878","3208726779.59427","3850927852.10185","",
"Bermuda","BMU","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2068741981.23927","2063112005.07248","2108867924.43701","2223805865.27062","2284912522.66975","2435449296.31369","2544534462.58418","2707480241.19794","2844734029.45805","2982406330.88787","3334145031.76884","3655493461.72759","3657603009.02598","3857001614.38818","4052473975.96067","4249526752.52499","4623506775.37574","4907300837.68478","4908095298.74214","4661620197.82517","4599566292.56937","4519405326.5993","4370872662.28833","4484628779.9265","4479895049.92416","4688793778.80788","4929475866.99318","5227044136.51153","5328755616.19818","5440684022.1614","5129741644.48989","5632141148.61389","",
"Bolivia","BOL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16283841547.8631","17721116844.6287","18423392428.3864","19665282457.4197","21022650005.1143","22467594792.2645","23876799317.3531","25491843210.6225","27075267754.7027","27574030464.4297","28905904150.2006","30054823271.6582","31281912250.3691","32764190064.686","35047766275.6842","37745009268.3395","40776162791.1297","43789629088.7436","47373527751.8864","49277693034.8021","51927900991.6518","55765337777.5774","61452959663.3131","69841188342.1911","75554052859.3584","77543289207.737","82736157918.0374","94285208488.0407","100615081062.241","104685033377.966","96689230557.7455","106855999403.033","",
"Brazil","BRA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","997366926074.853","1041738357708.39","1059681669176.96","1138222746879.02","1230569918679.35","1309440382663.44","1362869157923.77","1433436057306.69","1454470819924.79","1481869627113.38","1581938922683.9","1640061928833.08","1716481965939.58","1770327038985.79","1922557348338.68","2046338691519.81","2193057535019.42","2389038740932.39","2558895374192.6","2572056702792.12","2798924733572.41","2970630762099.6","2998534424980.66","3133893649534.78","3187155079572.03","3014754849735.87","2939094210373.7","3018705988834.88","3145953189874.14","3241317399249.49","3153147446348.34","3435882150019.29","",
